"","Var1","Freq"
"1","Alabama",21
"2","Alberta",17
"3","Arizona",17
"4","Baja California",5
"5","British Columbia",3
"6","California",173
"7","Colorado",28
"8","Delaware",6
"9","Florida",78
"10","Georgia",49
"11","Idaho",7
"12","Illinois",58
"13","Indiana",39
"14","Iowa",29
"15","Kansas",51
"16","Kentucky",36
"17","Louisiana",24
"18","Maryland",33
"19","Massachusetts",40
"20","Michigan",30
"21","Minnesota",24
"22","Mississippi",10
"23","Missouri",45
"24","Nebraska",17
"25","Nevada",17
"26","New Hampshire",8
"27","New Jersey",34
"28","New Mexico",11
"29","New York",114
"30","North Carolina",53
"31","Ohio",78
"32","Oklahoma",28
"33","Ontario",69
"34","Oregon",23
"35","Pennsylvania",76
"36","Quebec",16
"37","South Carolina",24
"38","South Dakota",7
"39","State Not Found",630
"40","Tennessee",29
"41","Texas",104
"42","Utah",18
"43","Virginia",43
"44","Washington",20
"45","West Virginia",19
"46","Wisconsin",33
"47","Wyoming",5
"48","Arkansas",17
"49","Central Denmark Region",2
"50","Central Hungary",1
"51","Coahuila",1
"52","Connecticut",13
"53","District of Columbia",10
"54","England",2
"55","Guam",1
"56","Łódź Voivodeship",1
"57","Maine",9
"58","Manitoba",10
"59","Mexico City",2
"60","Montana",1
"61","North Dakota",5
"62","Nuevo León",1
"63","Scotland",1
"64","Stockholm County",1
"65","Thuringia",1
"66","Utrecht",1
"67","Vermont",4
"68","Western Finland",2
"69","Zacatecas",2
"70","Area B",1
"71","Chihuahua",1
"72","Community of Madrid",1
"73","Extremadura",1
"74","Jalisco",1
"75","Michoacán",1
"76","Puerto Rico",1
"77","Rhode Island",1
"78","Saskatchewan",2
"79","Thessaly - Central Greece",1
"80","Wales",1
"81","Wallonia",1
