"","Var1","Freq"
"1","Alabama",44
"2","Arizona",22
"3","Arkansas",31
"4","California",199
"5","Colorado",31
"6","Connecticut",25
"7","Delaware",8
"8","Florida",78
"9","Georgia",62
"10","Idaho",7
"11","Illinois",66
"12","Indiana",52
"13","Iowa",30
"14","Kansas",73
"15","Kentucky",37
"16","Louisiana",45
"17","Maryland",31
"18","Massachusetts",34
"19","Michigan",55
"20","Minnesota",28
"21","Mississippi",16
"22","Missouri",57
"23","Nebraska",16
"24","Nevada",12
"25","New Aquitaine",1
"26","New Hampshire",13
"27","New Jersey",48
"28","New Mexico",12
"29","New York",150
"30","North Carolina",63
"31","Ohio",89
"32","Oklahoma",52
"33","Ontario",64
"34","Oregon",26
"35","Pennsylvania",86
"36","Quebec",18
"37","South Carolina",33
"38","South Dakota",4
"39","State Not Found",545
"40","Tennessee",42
"41","Texas",160
"42","Utah",19
"43","Virginia",61
"44","Washington",32
"45","West Virginia",23
"46","Wisconsin",29
"47","Wyoming",5
"48","Alberta",13
"49","British Columbia",3
"50","Community of Madrid",1
"51","District of Columbia",11
"52","England",13
"53","Guam",1
"54","Jalisco",1
"55","Maine",5
"56","Manitoba",4
"57","Montana",4
"58","North Dakota",4
"59","Rhode Island",8
"60","Saskatchewan",3
"61","Sonora",1
"62","Thessaly - Central Greece",2
"63","Vermont",6
"64","Western Finland",1
"65","Alta Verapaz",1
"66","Bangkok",1
"67","Buskerud",1
"68","Central Hungary",1
"69","Lazio",1
"70","Łódź Voivodeship",1
"71","North Holland",1
"72","North Rhine-Westphalia",1
"73","Nova Scotia",1
"74","Obwalden",2
"75","South Lower California",1
"76","Utrecht",1
"77","Aguascalientes",1
"78","Mexico City",1
"79","Puebla",1
